./analysis/mapping/SRR6502193.genes.results	./analysis/mapping/SRR6502196.genes.results	./analysis/mapping/SRR6502199.genes.results	./analysis/mapping/SRR6502202.genes.results	./analysis/mapping/SRR6502205.genes.results	./analysis/mapping/SRR6502208.genes.results
Xirp1	0.00	0.00	0.00	0.00	0.00	0.00
Xirp2	0.00	0.00	0.00	0.00	0.00	0.00
Xist	109.47	40.24	23.65	5.77	5.31	6.47
Xk	12.67	19.32	15.80	2.07	3.73	2.54
Xkr4	0.00	0.00	0.00	0.00	0.00	0.00
Xkr5	8.58	14.45	9.32	3.55	12.32	12.79
Xkr6	0.00	0.00	0.00	0.00	0.00	0.00
Xkr7	0.00	0.02	0.06	0.00	0.00	0.03
Xkr8	12.83	6.54	7.59	6.49	4.48	6.59
Xkr9	0.00	0.00	0.00	0.00	0.00	0.00
Xkrx	0.00	0.00	0.00	0.44	0.39	0.56
Xlr	2.58	1.56	2.82	0.00	0.00	0.82
Xlr3a	3.10	1.03	0.00	0.00	0.00	0.78
Xlr3b	7.99	0.66	0.00	0.25	0.00	0.00
Xlr3c	0.00	0.00	0.00	0.00	0.00	0.00
Xlr4a	21.91	0.63	0.00	0.00	0.00	0.00
Xlr4b	29.86	6.59	1.55	0.00	0.00	0.40
Xlr4c	3.82	3.22	1.23	0.57	0.00	0.24
Xlr4d-ps	3.01	5.06	0.00	0.00	0.00	0.00
Xlr5a	0.00	0.00	0.00	0.00	0.00	0.00
Xlr5b	0.00	0.00	0.00	0.00	0.00	0.00
Xlr5c	0.00	0.00	0.00	0.00	0.00	0.00
Xndc1	25.22	11.11	6.52	0.00	0.41	0.30
Xntrpc	0.49	0.00	0.00	0.00	0.00	0.00
Xpa	14.32	9.75	11.90	23.87	20.58	20.68
Xpc	71.83	65.46	41.58	45.17	135.09	115.75
Xpnpep1	148.70	56.30	52.31	1.23	0.34	3.70
Xpnpep2	0.00	0.05	0.00	0.32	0.08	0.56
Xpnpep3	8.82	3.79	4.31	2.94	5.10	3.65
Xpo1	103.25	97.28	48.17	27.00	42.07	33.32
Xpo4	21.72	6.65	2.77	0.65	1.48	1.57
Xpo5	72.39	32.37	25.93	5.38	10.26	5.88
Xpo6	34.56	21.40	31.37	119.23	147.18	158.11
Xpo7	30.95	17.67	13.49	7.48	8.38	9.02
Xpot	72.84	15.98	11.60	2.55	3.41	4.66
Xpr1	9.25	9.20	12.31	21.80	39.69	25.25
Xrcc1	89.08	60.83	30.26	3.67	10.22	7.44
Xrcc2	29.83	9.71	2.96	0.00	0.00	0.00
Xrcc3	40.31	9.05	9.45	2.40	1.87	0.56
Xrcc4	17.77	18.20	19.81	10.55	7.23	5.75
Xrcc5	6.09	4.49	0.77	0.00	0.00	0.00
Xrcc6	153.70	37.69	24.92	2.66	0.55	0.74
Xrn1	15.94	12.22	12.44	9.92	13.80	12.86
Xrn2	159.21	57.35	37.99	11.85	22.94	20.11
Xrra1	0.00	0.00	0.00	0.13	0.00	0.33
Xxylt1	9.43	1.13	3.79	0.60	0.37	0.00
Xylb	10.43	0.00	1.91	0.00	0.60	1.01
Xylt1	2.59	2.32	4.14	8.08	10.16	7.79
Xylt2	2.36	2.61	1.19	0.32	1.05	0.96
Yae1d1	11.51	1.60	0.86	0.27	0.15	0.34
Yaf2	23.34	84.47	46.92	36.32	44.92	18.28
Yap1	0.00	0.00	0.00	0.00	0.18	0.50
Yars	108.19	18.11	15.80	4.47	5.44	6.26
Yars2	18.14	25.08	11.20	0.93	0.18	0.00
Ybey	4.04	1.94	2.16	1.20	0.11	0.51
Ybx1	73.74	218.02	43.01	19.07	83.26	18.33
Ybx2	0.00	0.00	0.62	0.00	0.00	0.00
Ybx3	28.99	2.73	2.26	0.25	0.17	0.14
Ydjc	55.75	1.24	1.55	0.97	0.45	0.21
Yeats2	25.29	8.13	3.86	1.02	1.83	1.43
Yeats4	104.05	93.96	50.77	23.71	21.21	13.47
Yes1	0.00	1.58	1.37	0.70	2.51	0.41
Yif1a	77.18	21.83	13.34	9.30	10.84	10.41
Yif1b	230.72	60.29	17.33	8.82	8.97	4.27
Yipf1	130.03	111.76	79.09	145.47	135.58	108.92
Yipf2	60.61	18.74	21.19	3.90	2.48	5.00
Yipf3	121.69	77.01	105.17	87.65	106.93	95.64
Yipf4	62.44	58.37	64.84	68.98	86.07	73.62
Yipf5	78.64	31.22	39.36	17.67	15.19	13.11
Yipf6	18.92	9.03	8.25	4.28	5.22	3.51
Yipf7	0.00	0.00	0.00	0.00	0.00	0.00
Yjefn3	0.36	0.55	1.03	0.32	2.70	0.00
Yju2	38.39	27.39	14.20	11.55	12.47	8.90
Ykt6	61.73	60.83	67.69	50.18	43.07	36.92
Ylpm1	13.82	6.85	5.02	1.73	2.99	3.72
Yme1l1	84.34	54.94	55.69	60.59	82.53	60.10
Yod1	13.23	6.63	6.64	4.81	7.23	4.05
Ypel1	2.54	0.26	1.05	2.01	2.14	0.66
Ypel2	12.14	0.53	1.39	0.91	1.16	1.70
Ypel3	4.14	13.14	30.33	271.74	734.40	263.09
Ypel4	0.00	0.00	0.00	0.00	0.00	0.00
Ypel5	56.48	139.12	148.13	211.35	306.54	214.80
Yrdc	3.56	13.04	8.05	2.51	7.00	1.85
Ythdc1	18.56	26.23	20.46	25.45	54.40	25.55
Ythdc2	6.38	3.80	2.18	0.12	0.59	0.07
Ythdf1	14.59	15.94	9.59	5.34	12.42	7.45
Ythdf2	141.64	46.26	46.02	20.78	25.59	20.77
Ythdf3	63.47	46.01	71.19	105.09	132.25	94.29
Ywhab	344.79	348.67	439.23	129.88	102.77	111.84
Ywhae	584.16	234.76	193.73	79.08	119.99	77.67
Ywhag	121.37	64.68	78.84	50.09	43.24	66.81
Ywhah	455.94	613.35	258.79	202.06	532.94	226.64
Ywhaq	389.62	194.07	114.29	51.10	73.70	72.54
Ywhaz	868.12	700.29	759.12	694.22	634.90	646.14
Yy1	19.67	9.53	8.05	12.01	15.80	15.91
Yy2	9.55	5.28	2.94	0.33	0.91	1.08
Zadh2	32.64	12.53	8.50	1.37	3.53	3.98
Zan	0.22	0.00	0.00	0.00	0.00	0.00
Zap70	0.89	0.00	0.00	0.00	0.00	1.00
Zar1	0.00	0.00	0.00	0.00	0.00	0.00
Zar1l	0.00	0.00	0.00	0.00	0.00	0.00
Zbbx	0.00	0.00	0.00	0.00	0.00	0.00
Zbed3	53.38	0.50	2.18	0.30	0.00	0.00
Zbed4	56.89	15.36	9.13	3.65	7.65	6.10
Zbed5	1.62	0.00	0.00	0.57	0.00	0.00
Zbed6	4.35	2.56	3.43	2.80	3.60	2.83
Zbp1	6.35	3.11	26.89	54.94	66.12	73.83
Zbtb1	52.35	18.33	14.83	18.54	27.81	18.55
Zbtb10	0.53	0.18	0.44	0.00	0.00	0.00
Zbtb11	36.02	21.41	26.72	12.26	18.70	16.39
Zbtb11os1	0.26	2.44	2.39	1.15	3.57	0.00
Zbtb12	0.00	0.00	0.00	0.00	0.00	0.00
Zbtb14	24.55	30.00	16.79	2.29	4.03	3.16
Zbtb16	5.05	0.02	1.08	4.93	9.49	13.11
Zbtb17	31.72	12.85	25.46	7.54	9.09	9.87
Zbtb18	6.60	1.92	2.05	1.08	1.44	1.25
Zbtb2	13.76	10.66	21.26	21.48	26.07	24.66
Zbtb20	6.46	8.06	9.03	6.93	6.61	2.88
Zbtb21	9.97	1.52	1.40	3.75	7.15	3.99
Zbtb22	7.34	7.91	8.80	11.50	15.31	17.93
Zbtb24	22.03	18.84	27.98	49.48	42.81	48.42
Zbtb25	29.74	6.59	1.65	0.74	3.73	0.93
Zbtb26	4.16	1.75	1.84	1.65	2.63	5.01
Zbtb3	5.41	3.65	2.27	0.73	0.00	1.46
Zbtb32	0.00	0.26	0.12	0.27	0.21	0.39
Zbtb33	1.55	3.35	2.27	1.27	2.94	2.63
Zbtb34	8.35	7.73	7.84	3.45	2.56	2.57
Zbtb37	2.12	1.53	3.89	3.65	4.10	5.02
Zbtb38	69.39	43.90	38.36	23.01	21.41	19.39
Zbtb39	1.67	0.51	1.39	7.80	11.95	11.04
Zbtb4	0.66	0.05	0.00	0.16	0.00	0.12
Zbtb40	7.69	2.97	2.84	0.22	0.03	0.81
Zbtb41	6.68	5.07	5.06	1.30	2.92	3.06
Zbtb42	1.19	10.71	35.23	67.18	80.10	94.28
Zbtb43	12.19	7.17	13.20	11.07	13.88	18.83
Zbtb44	7.82	4.66	3.18	4.21	11.07	6.88
Zbtb45	21.53	7.38	5.83	0.97	1.72	1.36
Zbtb46	0.14	0.91	1.05	1.14	2.26	0.98
Zbtb48	22.39	7.85	7.58	7.48	12.31	13.38
Zbtb49	10.87	4.73	8.47	8.23	6.59	9.70
Zbtb5	16.68	11.19	8.80	2.72	11.14	5.72
Zbtb6	9.57	8.06	8.86	5.67	12.73	8.51
Zbtb7a	10.12	15.75	23.48	19.69	18.50	26.29
Zbtb7b	6.29	26.21	40.11	39.09	38.98	53.62
Zbtb7c	0.00	0.00	0.00	0.00	0.00	0.00
Zbtb8a	10.32	2.95	2.29	0.52	0.00	0.00
Zbtb8b	0.00	0.00	0.00	0.12	0.06	0.10
Zbtb8os	9.07	2.62	4.17	6.17	6.37	4.26
Zbtb9	26.78	10.86	9.92	19.89	15.74	19.42
Zc2hc1a	7.46	0.84	2.21	0.00	0.00	0.00
Zc2hc1b	0.00	0.00	0.00	0.00	0.00	0.00
Zc2hc1c	0.18	0.00	0.39	0.12	1.29	0.00
Zc3h10	28.84	15.03	19.69	28.31	21.79	24.37
Zc3h11a	60.65	38.18	44.18	32.63	46.50	28.05
Zc3h12a	2.56	1.99	2.58	10.47	16.83	14.40
Zc3h12b	0.60	0.23	0.00	0.04	0.10	0.00
Zc3h12c	5.11	0.17	0.99	0.00	0.14	0.23
Zc3h12d	0.46	0.69	6.03	18.07	34.59	37.99
Zc3h13	29.71	15.42	10.58	9.05	16.50	11.01
Zc3h14	38.24	41.55	34.79	17.54	26.50	20.74
Zc3h15	119.40	57.74	43.51	26.50	47.28	26.02
Zc3h18	35.99	21.35	23.49	13.22	17.33	18.06
Zc3h3	14.20	7.79	12.85	18.70	25.10	29.45
Zc3h4	14.90	14.85	16.69	9.85	8.30	12.17
Zc3h6	1.64	0.68	0.00	0.37	1.12	1.98
Zc3h7a	99.93	46.06	60.66	50.88	60.53	56.33
Zc3h7b	6.66	0.72	0.70	0.03	0.09	0.08
Zc3h8	19.34	6.90	2.62	0.39	3.65	1.83
Zc3hav1	58.58	39.61	53.99	104.19	100.21	91.64
Zc3hav1l	4.26	0.02	0.81	0.76	1.25	0.66
Zc3hc1	83.47	32.29	22.26	2.42	3.52	4.86
Zc4h2	8.88	0.59	0.00	0.00	0.00	0.34
Zcchc10	39.22	8.62	5.51	1.89	1.92	0.44
Zcchc12	0.20	0.00	0.00	0.18	0.13	0.00
Zcchc13	0.00	0.00	0.00	0.00	0.00	0.00
Zcchc14	0.12	0.02	0.00	0.55	1.99	0.21
Zcchc17	62.65	44.89	29.41	14.48	12.20	11.72
Zcchc18	0.33	0.00	0.54	0.71	0.00	0.00
Zcchc2	10.16	7.21	11.36	15.52	19.73	15.36
Zcchc24	0.49	0.07	1.71	0.71	0.05	0.00
Zcchc3	1.89	0.31	0.00	0.00	0.00	0.00
Zcchc4	29.82	5.29	6.04	1.72	3.87	1.17
Zcchc7	24.62	16.86	17.25	15.15	25.52	18.29
Zcchc8	43.23	35.85	34.77	78.08	69.17	54.67
Zcchc9	53.23	24.07	21.43	9.75	17.30	5.83
Zcrb1	45.23	43.32	14.97	25.87	19.63	16.72
Zcwpw1	5.53	9.24	6.35	0.09	0.26	0.00
Zcwpw2	0.00	0.00	0.00	0.18	0.00	0.00
Zdbf2	0.00	0.00	0.00	0.00	0.00	0.00
Zdhhc1	6.85	0.10	0.18	0.49	0.00	0.00
Zdhhc11	0.00	0.00	0.00	0.00	0.00	0.00
Zdhhc12	44.10	14.49	15.55	3.84	1.88	3.42
Zdhhc13	90.50	30.38	24.71	11.46	13.38	16.68
Zdhhc14	0.27	0.00	0.00	0.00	0.88	0.00
Zdhhc15	5.35	0.13	0.00	0.00	0.00	0.00
Zdhhc16	163.76	77.03	64.89	18.07	20.58	19.17
Zdhhc17	16.82	6.08	5.77	5.50	5.70	4.67
Zdhhc18	8.57	22.40	28.36	55.27	43.55	56.02
Zdhhc19	0.00	0.00	0.00	0.00	0.00	0.00
Zdhhc2	0.37	2.85	1.19	0.00	0.00	0.07
Zdhhc20	56.69	29.64	27.32	49.49	58.54	46.89
Zdhhc21	20.81	3.71	3.14	0.00	0.03	0.18
Zdhhc22	0.00	0.00	0.00	0.00	0.00	0.07
Zdhhc23	0.62	0.16	0.65	0.00	0.04	0.00
Zdhhc24	11.93	9.05	7.67	10.40	10.55	7.46
Zdhhc25	0.00	0.00	0.00	0.00	0.00	0.00
Zdhhc3	124.45	166.65	224.51	142.18	39.60	62.31
Zdhhc4	108.64	52.46	46.85	47.46	58.54	46.63
Zdhhc5	26.84	22.62	25.66	11.88	13.05	13.04
Zdhhc6	208.03	111.85	86.40	21.26	22.78	16.46
Zdhhc7	24.81	46.85	83.97	123.52	109.68	109.46
Zdhhc8	4.21	1.23	0.51	0.19	0.00	0.05
Zdhhc9	8.75	10.23	19.44	9.77	14.62	63.80
Zeb1	5.78	9.18	14.55	10.46	13.25	11.57
Zeb2	62.01	2.17	10.19	16.05	22.65	20.58
Zeb2os	1.90	0.00	0.00	0.00	0.50	0.44
Zer1	4.53	1.79	2.06	4.88	6.67	7.84
Zf12	0.38	0.00	0.00	0.00	0.00	0.00
Zfa-ps	0.00	0.00	0.00	0.00	0.00	0.08
Zfand1	54.42	11.04	6.92	5.84	5.50	4.20
Zfand2a	21.80	13.08	17.20	6.44	18.30	16.78
Zfand2b	50.99	91.88	99.59	133.77	90.23	71.31
Zfand3	3.53	20.50	17.11	27.73	43.38	30.62
Zfand4	20.82	13.94	19.46	44.99	49.05	47.51
Zfand5	13.50	77.20	85.69	103.40	282.37	130.41
Zfand6	86.95	117.49	121.55	162.48	165.67	124.64
Zfas1	13.03	0.31	2.31	1.80	3.02	1.84
Zfat	7.91	3.32	3.69	7.05	6.96	10.50
Zfc3h1	15.52	8.55	16.29	12.93	17.79	15.99
Zfhx2	0.68	0.50	0.40	0.00	0.11	0.00
Zfhx2os	0.00	0.00	0.00	0.00	0.00	0.00
Zfhx3	0.66	1.81	7.01	3.93	4.18	3.76
Zfhx4	0.00	0.00	0.00	0.00	0.00	0.00
Zfp1	19.03	2.25	5.03	3.29	7.45	6.88
Zfp101	18.23	20.19	14.51	6.01	4.53	5.00
Zfp105	8.03	0.00	1.02	0.00	0.04	0.00
Zfp106	41.77	13.51	14.97	48.08	84.11	59.17
Zfp108	1.39	0.00	0.64	0.00	0.00	0.00
Zfp109	10.04	0.51	0.61	0.00	0.00	0.00
Zfp11	3.56	2.14	1.98	0.70	0.00	0.00
Zfp110	53.31	28.61	20.96	39.89	65.07	58.90
Zfp111	15.38	3.21	0.61	0.00	0.00	0.00
Zfp112	0.13	0.00	0.63	1.07	1.33	0.00
Zfp113	11.32	1.84	2.20	0.21	0.66	0.40
Zfp114	3.05	0.00	0.00	0.00	0.00	0.00
Zfp119a	10.93	5.53	5.07	12.39	28.40	13.08
Zfp119b	20.88	9.21	17.24	43.74	59.07	58.55
Zfp12	7.66	0.66	0.93	0.04	0.00	0.32
Zfp120	36.62	15.05	22.06	12.62	20.61	15.04
Zfp128	3.59	2.76	3.44	0.00	0.60	1.33
Zfp13	0.00	0.00	0.44	0.18	0.00	0.00
Zfp131	35.53	23.86	19.80	13.34	11.95	12.66
Zfp133-ps	2.83	0.00	0.00	0.00	0.00	0.00
Zfp14	3.31	0.24	0.73	0.78	0.00	0.08
Zfp141	38.98	41.73	33.54	13.26	11.51	5.70
Zfp142	10.53	5.90	9.73	7.38	4.06	1.40
Zfp143	26.71	47.95	49.13	55.03	66.87	51.13
Zfp146	21.96	0.96	2.24	0.53	0.00	0.00
Zfp148	36.40	26.68	30.37	30.76	34.61	27.05
Zfp157	12.02	4.50	4.15	5.56	7.35	4.65
Zfp160	23.20	6.72	10.33	7.91	5.04	5.39
Zfp169	6.88	1.30	2.84	3.77	5.94	2.68
Zfp174	0.24	0.18	1.12	0.99	1.92	0.93
Zfp180	29.49	19.31	23.64	10.15	15.70	13.05
Zfp182	6.19	1.36	2.97	5.75	7.55	6.83
Zfp184	9.49	0.31	0.56	0.00	0.00	0.00
Zfp185	0.00	0.00	0.00	0.00	0.00	0.00
Zfp189	10.39	5.32	5.96	5.03	5.64	5.22
Zfp2	2.99	0.00	0.00	0.00	0.00	0.00
Zfp202	4.45	0.00	1.49	0.32	0.00	0.00
Zfp207	513.82	274.33	255.63	89.65	106.13	96.07
Zfp212	22.83	23.05	23.08	18.55	16.72	18.61
Zfp213	24.20	9.55	10.71	0.00	1.97	2.70
Zfp217	7.75	5.18	11.75	13.86	18.00	18.05
Zfp219	17.65	1.96	1.74	1.05	0.88	0.71
Zfp229	5.48	0.58	2.24	0.07	0.41	0.00
Zfp235	13.21	3.69	8.29	7.40	7.24	3.33
Zfp236	5.94	5.98	5.65	9.82	15.10	11.78
Zfp239	8.16	0.34	0.00	0.06	0.09	0.08
Zfp24	42.01	12.43	10.84	16.42	19.77	14.57
Zfp248	1.66	0.00	0.00	0.00	0.00	0.00
Zfp251	13.64	1.16	1.01	0.00	0.00	0.00
Zfp26	17.33	10.48	9.63	7.93	9.35	11.06
Zfp260	40.72	7.17	9.85	4.08	4.54	2.59
Zfp263	97.47	30.28	33.98	82.32	216.11	134.59
Zfp266	26.41	5.29	3.77	2.86	4.31	4.64
Zfp267	4.47	0.00	0.54	0.00	0.00	0.00
Zfp27	13.09	1.07	2.05	0.00	0.00	0.00
Zfp273	11.09	0.89	1.79	0.42	1.17	1.25
Zfp275	8.75	1.63	0.36	0.96	0.65	0.47
Zfp276	19.59	31.55	82.18	92.12	84.98	78.73
Zfp277	64.80	9.60	15.17	0.66	3.67	1.32
Zfp28	0.93	2.20	3.10	2.33	0.92	1.12
Zfp280b	11.93	4.55	3.05	0.81	0.36	0.89
Zfp280c	19.67	4.79	3.98	0.23	0.56	0.28
Zfp280d	21.38	12.64	8.60	1.64	1.36	0.00
Zfp281	14.99	19.57	25.40	30.74	45.30	36.45
Zfp282	18.75	6.63	7.80	3.26	1.87	3.54
Zfp286	6.68	0.33	0.00	0.00	0.00	0.00
Zfp286os	0.00	0.00	0.00	0.00	0.00	0.00
Zfp287	0.93	0.00	0.00	0.00	0.00	0.00
Zfp292	16.07	14.51	17.98	19.46	27.99	22.56
Zfp296	11.65	7.22	9.28	9.30	3.19	7.02
Zfp3	2.82	0.28	1.75	0.00	0.00	0.00
Zfp30	1.50	0.00	0.00	0.00	0.59	0.00
Zfp300	0.00	0.00	0.00	0.00	0.00	0.00
Zfp316	0.72	0.07	0.12	0.00	0.00	0.00
Zfp317	28.40	5.68	6.57	0.55	0.98	1.17
Zfp318	1.79	0.55	0.00	0.35	0.07	0.50
Zfp319	11.22	11.39	12.87	13.87	14.92	14.74
Zfp322a	33.49	7.42	10.12	2.95	2.40	4.35
Zfp324	14.62	3.53	4.35	0.00	0.00	0.90
Zfp326	10.36	2.74	0.76	0.28	2.19	0.99
Zfp329	6.07	2.49	3.59	1.82	1.19	2.55
Zfp330	151.38	28.52	21.75	13.30	17.42	11.68
Zfp334	0.00	0.00	0.00	0.00	0.00	0.00
Zfp335	19.08	12.63	24.38	23.60	33.58	44.01
Zfp335os	0.98	3.70	1.76	7.83	15.94	7.58
Zfp33b	17.54	1.38	4.25	6.13	4.41	3.86
Zfp341	0.65	1.19	0.42	1.44	1.42	1.75
Zfp345	0.00	0.00	0.00	0.00	0.00	0.00
Zfp346	14.01	5.00	6.06	6.34	5.59	6.31
Zfp35	134.72	45.69	39.56	23.60	31.66	27.54
Zfp352	0.00	0.00	0.00	0.00	0.00	0.00
Zfp354a	0.48	0.00	0.00	0.00	0.00	0.00
Zfp354b	0.00	0.00	0.00	0.00	0.00	0.00
Zfp354c	0.94	0.00	0.32	0.00	0.00	0.00
Zfp358	7.94	4.68	6.61	0.98	2.05	1.50
Zfp36	35.21	78.61	240.05	1600.82	1810.29	1028.87
Zfp362	8.18	2.93	2.82	0.00	0.00	0.91
Zfp365	0.00	0.00	0.00	0.00	0.00	0.00
Zfp366	0.00	0.00	0.00	0.00	0.00	0.00
Zfp367	48.12	24.47	14.99	0.17	0.80	1.02
Zfp369	4.34	2.21	0.42	0.19	0.34	0.81
Zfp36l1	0.14	0.43	0.65	9.97	19.65	27.94
Zfp36l2	44.78	25.25	26.12	111.77	189.52	131.76
Zfp36l3	0.00	0.00	0.00	0.00	0.00	0.00
Zfp37	0.00	0.00	0.00	0.00	0.00	0.00
Zfp382	3.88	7.20	5.55	0.80	0.31	0.71
Zfp383	1.46	0.00	0.00	0.58	0.91	0.00
Zfp384	29.29	20.73	24.65	16.43	16.67	18.33
Zfp385a	4.95	0.29	1.56	0.08	0.24	0.32
Zfp385b	0.00	0.00	0.00	0.00	0.00	0.00
Zfp385c	0.00	0.00	0.05	0.00	0.00	0.08
Zfp386	36.57	8.06	10.50	1.54	1.78	2.21
Zfp389	0.00	0.00	0.00	0.00	0.00	0.00
Zfp39	13.38	1.52	2.56	3.24	4.58	5.31
Zfp395	3.04	3.26	0.90	0.34	1.20	1.31
Zfp397	28.44	10.10	14.07	7.04	12.87	12.84
Zfp398	16.21	4.42	2.72	4.41	6.27	5.66
Zfp40	10.42	1.32	2.77	0.00	0.08	0.00
Zfp407	9.34	5.40	11.10	10.57	9.94	11.49
Zfp408	13.39	8.33	13.20	13.70	21.93	9.67
Zfp41	18.72	10.12	1.88	0.47	0.51	0.40
Zfp410	69.33	33.76	26.37	5.85	6.65	9.45
Zfp414	46.64	66.35	52.58	38.95	19.39	24.49
Zfp418	4.79	0.48	0.06	0.21	0.39	0.00
Zfp419	0.00	0.00	0.00	0.00	0.00	0.00
Zfp42	0.00	0.00	0.00	0.00	0.00	0.00
Zfp420	7.19	0.39	3.02	0.94	1.04	0.73
Zfp422	269.95	56.71	37.83	6.20	6.12	6.57
Zfp423	0.00	0.00	0.00	0.00	0.00	0.00
Zfp426	28.46	12.27	14.45	20.27	15.10	19.88
Zfp428	5.70	0.38	0.00	0.00	0.00	0.00
Zfp429	19.39	11.15	14.43	2.01	7.92	2.08
Zfp433	23.12	13.56	10.73	1.17	6.82	1.64
Zfp438	3.86	3.15	4.92	0.93	1.91	2.51
Zfp442	4.99	0.00	0.05	0.00	0.00	0.00
Zfp444	39.98	8.44	11.21	6.25	2.47	4.32
Zfp445	49.66	27.50	52.17	21.93	21.30	18.30
Zfp446	13.85	0.96	0.56	0.17	0.88	0.00
Zfp449	1.83	0.42	0.18	0.11	0.00	0.00
Zfp451	19.47	12.69	13.67	3.90	5.04	2.39
Zfp454	0.00	0.00	0.00	0.00	0.00	0.00
Zfp455	10.49	0.71	0.00	0.00	0.00	0.09
Zfp456	5.10	3.29	3.05	0.00	0.60	0.34
Zfp457	0.00	0.00	0.00	0.00	0.00	0.00
Zfp458	2.44	0.13	0.08	0.11	1.03	0.92
Zfp459	0.25	0.24	0.00	0.07	0.16	0.14
Zfp46	15.54	7.19	10.03	4.44	3.36	0.88
Zfp462	0.00	0.00	0.08	0.00	0.00	0.00
Zfp467	3.68	0.83	5.31	10.61	3.97	10.11
Zfp469	0.06	0.00	0.00	0.00	0.00	0.00
Zfp472	39.12	14.53	17.33	6.17	6.07	6.17
Zfp473	4.49	3.32	0.70	1.44	0.34	1.28
Zfp474	0.00	0.00	0.00	0.00	0.00	0.00
Zfp488	0.00	0.00	0.00	0.04	0.00	0.00
Zfp493	5.14	0.00	0.00	0.00	0.00	0.00
Zfp503	0.00	0.00	0.00	0.17	0.00	0.05
Zfp507	7.19	1.40	0.66	1.17	2.29	1.41
Zfp51	30.68	28.51	32.78	32.91	47.41	42.51
Zfp511	30.84	19.78	14.69	12.36	6.95	9.60
Zfp512	30.57	13.31	14.24	6.72	6.63	8.30
Zfp512b	19.02	4.99	3.07	1.63	3.33	1.99
Zfp513	3.55	4.12	3.49	3.76	6.48	3.00
Zfp516	10.31	11.02	27.87	24.93	10.46	16.49
Zfp518a	19.67	13.19	20.20	13.63	13.00	5.97
Zfp518b	4.68	2.46	1.15	0.81	0.27	0.07
Zfp52	27.74	5.46	10.82	11.40	12.20	7.42
Zfp521	2.18	0.00	0.00	0.00	0.00	0.00
Zfp523	20.36	3.69	5.70	2.49	2.36	1.24
Zfp524	37.00	40.30	29.87	52.10	50.88	52.13
Zfp526	3.64	1.59	2.03	0.31	0.15	1.19
Zfp53	31.80	10.80	16.26	35.28	81.92	64.57
Zfp532	0.00	0.06	0.00	0.00	0.00	0.00
Zfp534	0.08	0.00	0.00	0.00	0.00	0.00
Zfp536	0.00	0.00	0.00	0.00	0.00	0.00
Zfp54	14.40	10.08	5.88	4.31	3.37	4.27
Zfp541	0.00	0.41	1.33	0.40	0.86	0.56
Zfp551	4.15	0.00	0.00	0.16	0.00	0.00
Zfp553	22.49	4.44	7.09	3.08	4.99	4.76
Zfp558	2.07	0.25	0.27	0.00	0.56	0.00
Zfp560	2.84	1.04	1.15	0.48	0.16	0.00
Zfp563	3.31	2.08	1.72	0.86	0.43	0.92
Zfp566	16.23	2.84	1.82	3.70	2.66	1.37
Zfp568	21.01	6.41	6.95	0.22	0.67	0.42
Zfp57	0.53	0.00	0.00	0.00	0.00	0.00
Zfp572	0.00	0.00	0.00	0.00	0.00	0.00
Zfp574	30.90	23.36	22.18	34.20	50.82	42.56
Zfp575	0.26	0.00	0.00	0.00	0.00	0.00
Zfp579	2.04	0.92	3.18	1.18	0.33	1.83
Zfp58	25.01	3.73	4.04	6.19	10.21	2.69
Zfp580	1.37	0.00	0.00	0.00	0.00	0.00
Zfp583	6.57	0.58	0.71	0.00	0.00	0.00
Zfp59	10.06	0.09	0.82	0.00	0.43	0.00
Zfp592	14.86	18.20	26.49	17.73	26.32	29.83
Zfp593	17.55	0.25	1.20	0.00	0.00	0.00
Zfp595	4.40	5.60	4.76	5.11	5.82	3.52
Zfp597	5.24	15.29	25.42	22.90	41.32	36.38
Zfp598	6.95	3.91	2.87	0.70	2.67	3.16
Zfp599	4.77	1.14	0.00	0.00	0.79	0.00
Zfp60	19.56	3.30	4.74	3.79	4.29	4.51
Zfp600	0.00	0.00	0.00	0.00	0.00	0.00
Zfp605	3.76	2.61	1.37	1.06	1.97	2.17
Zfp606	19.93	7.07	5.12	0.04	0.76	0.00
Zfp607a	7.53	3.57	0.91	0.31	0.00	0.00
Zfp607b	0.78	0.15	0.28	0.00	0.08	0.25
Zfp608	5.11	6.94	11.73	19.14	26.68	16.48
Zfp609	5.34	3.19	1.28	1.06	1.52	1.14
Zfp61	26.63	0.56	0.13	0.00	0.00	0.00
Zfp612	0.00	0.00	0.00	0.00	0.00	0.00
Zfp616	0.00	0.00	0.00	0.00	0.00	0.00
Zfp617	24.07	12.35	16.80	22.80	26.28	19.69
Zfp618	0.64	0.00	0.00	0.00	0.00	0.00
Zfp619	2.35	0.66	2.59	2.57	5.92	2.09
Zfp62	56.27	41.65	39.93	19.97	32.38	24.66
Zfp622	5.35	22.64	13.83	6.58	19.83	8.02
Zfp623	25.99	3.45	4.06	1.30	1.71	3.90
Zfp626	8.29	2.63	2.59	1.78	1.17	1.54
Zfp628	0.96	1.14	0.73	0.58	0.82	0.68
Zfp629	15.36	0.47	0.59	0.00	0.00	0.00
Zfp637	60.39	14.39	7.81	8.16	9.65	8.69
Zfp638	49.80	27.37	30.55	36.59	43.62	34.01
Zfp639	26.31	14.38	10.54	4.12	8.98	1.51
Zfp64	28.46	4.83	2.63	0.00	0.67	0.00
